ID,Start time,Completion time,Email,Name,[Dye-127-1] The original data and the output of the tiling artefact removal methods are shown below. Please rank the images on how well the information is retained after removing the tiling artefa...,[Brain-1838-1] The original data and the output of the tiling artefact removal methods are shown below. Please rank the images on how well the information is retained after removing the tiling art...,[Polymer-23-1] The original data and the output of the tiling artefact removal methods are shown below. Please rank the images on how well the information is retained after removing the tiling art...,[Capacitor-35-1] The original data and the output of the tiling artefact removal methods are shown below. Please rank the images on how well the information is retained after removing the tiling a...,[Dye-127-2] The original data and the output of the tiling artefact removal methods are shown below. Please rank the images on how well the tiling artefacts are reduced (best at the top and worst ...,[Brain-1838-2] The original data and the output of the tiling artefact removal methods are shown below. Please rank the images on how well the tiling artefacts are reduced (best at the top and wor...,[Polymer-23-2] The original data and the output of the tiling artefact removal methods are shown below. Please rank the images on how well the tiling artefacts are reduced (best at the top and wor...,[Capacitor-35-2] The original data and the output of the tiling artefact removal methods are shown below. Please rank the images on how well the tiling artefacts are reduced (best at the top and w...,"From a scale of 1 to 10, how familiar are you with this type of data? Use 1 star for low and 10 stars for high familiarity. 

"
1,5/5/23 17:45:56,5/5/23 17:57:07,anonymous,,A;D;E;F;B;G;C;,B;E;D;C;G;A;F;,C;D;E;F;G;B;A;,G;E;A;B;C;D;F;,A;G;E;B;C;D;F;,F;E;G;B;A;C;D;,G;D;A;C;B;E;F;,A;C;G;F;B;E;D;,10
2,5/8/23 14:24:47,5/8/23 14:39:56,anonymous,,G;D;E;B;C;F;A;,E;B;G;C;D;F;A;,E;C;D;F;G;A;B;,E;A;C;F;G;D;B;,A;E;G;D;B;C;F;,E;C;B;A;D;F;G;,D;A;C;B;F;G;E;,D;G;F;E;B;A;C;,10
3,5/9/23 11:25:18,5/9/23 11:34:13,anonymous,,D;E;C;G;B;A;F;,C;B;E;G;D;F;A;,F;G;C;D;A;E;B;,A;C;B;E;F;D;G;,A;E;C;D;F;G;B;,C;B;A;D;F;E;G;,E;F;G;B;C;A;D;,D;F;G;B;E;A;C;,3
4,5/11/23 18:20:55,5/11/23 18:27:18,anonymous,,B;E;D;A;C;F;G;,G;C;B;E;A;D;F;,A;C;E;B;D;F;G;,A;C;F;B;D;E;G;,C;E;F;A;D;B;G;,C;A;B;D;E;F;G;,D;F;A;B;C;E;G;,B;E;G;A;C;D;F;,1
5,5/11/23 20:04:32,5/11/23 20:41:52,anonymous,,B;D;G;E;F;C;A;,B;E;C;D;G;F;A;,D;C;E;A;F;G;B;,C;A;G;E;F;B;D;,A;E;G;B;D;F;C;,E;C;F;B;D;A;G;,A;D;G;C;F;B;E;,A;C;F;E;B;D;G;,1
6,5/12/23 16:07:36,5/12/23 16:17:45,anonymous,,D;G;B;E;C;F;A;,C;G;B;E;D;F;A;,F;G;C;E;D;A;B;,F;A;C;G;E;B;D;,B;C;D;F;G;E;A;,E;C;G;F;B;D;A;,F;D;C;A;G;B;E;,F;B;C;A;E;D;G;,3
7,5/15/23 10:15:40,5/15/23 10:44:39,anonymous,,B;A;F;E;C;D;G;,D;G;B;C;E;F;A;,B;D;E;A;C;G;F;,G;C;B;A;E;F;D;,A;G;E;F;C;B;D;,A;B;F;D;C;E;G;,G;F;D;C;B;E;A;,G;F;A;C;B;D;E;,5
8,5/15/23 9:47:38,5/15/23 11:18:22,anonymous,,B;A;F;E;G;D;C;,G;C;B;E;A;D;F;,E;A;D;C;B;G;F;,B;C;F;G;D;E;A;,E;A;B;C;D;G;F;,C;D;F;B;A;E;G;,B;D;C;F;G;E;A;,F;C;A;D;B;E;G;,5
9,5/15/23 11:12:09,5/15/23 11:20:43,anonymous,,G;B;D;E;F;A;C;,C;E;G;B;A;D;F;,D;E;C;A;F;G;B;,A;C;E;G;F;B;D;,E;A;G;C;B;D;F;,F;G;B;C;E;A;D;,D;C;G;A;F;B;E;,F;A;B;D;G;C;E;,2
10,5/15/23 11:09:08,5/15/23 11:27:04,anonymous,,F;B;C;D;A;E;G;,D;G;B;E;C;F;A;,E;A;D;C;G;F;B;,A;C;E;F;G;D;B;,A;E;C;B;D;F;G;,C;A;B;D;E;F;G;,D;G;C;A;B;F;E;,B;D;E;F;G;A;C;,1
11,5/15/23 10:51:29,5/15/23 11:38:59,anonymous,,F;B;E;G;D;C;A;,C;B;G;E;D;F;A;,C;F;D;E;A;G;B;,G;D;E;B;A;C;F;,A;E;B;D;F;C;G;,F;B;A;D;C;E;G;,D;A;G;C;F;B;E;,F;E;G;A;B;C;D;,8
12,5/15/23 11:39:42,5/15/23 11:48:07,anonymous,,B;F;A;D;G;C;E;,G;B;C;E;F;A;D;,D;E;A;F;C;G;B;,A;F;C;B;D;E;G;,E;A;D;F;B;C;G;,C;F;B;D;A;E;G;,A;C;D;G;F;E;B;,A;C;F;B;D;E;G;,1
13,5/15/23 12:18:44,5/15/23 12:28:26,anonymous,,B;F;D;C;G;E;A;,D;G;B;C;E;F;A;,E;A;D;B;C;G;F;,A;C;F;E;G;B;D;,A;E;G;C;B;D;F;,F;C;A;B;D;E;G;,D;C;G;A;B;F;E;,D;B;E;G;F;A;C;,1
14,5/15/23 12:12:44,5/15/23 12:28:34,anonymous,,B;E;D;G;F;C;A;,G;E;B;C;D;F;A;,D;E;C;F;A;G;B;,F;C;A;E;G;D;B;,A;E;G;B;C;D;F;,C;B;F;A;D;E;G;,D;G;A;C;F;E;B;,E;C;B;F;A;D;G;,2
15,5/15/23 13:06:09,5/15/23 13:28:40,anonymous,,E;D;G;B;C;A;F;,G;B;C;E;F;D;A;,F;C;D;E;G;A;B;,A;E;G;C;F;B;D;,E;A;G;B;C;D;F;,C;E;F;B;D;A;G;,A;C;D;G;F;B;E;,F;A;B;C;D;E;G;,1
16,5/15/23 15:43:07,5/15/23 16:02:33,anonymous,,G;D;E;C;B;F;A;,B;C;E;D;G;F;A;,F;A;C;D;G;E;B;,E;F;A;C;G;B;D;,E;A;G;F;D;B;C;,C;F;E;G;B;D;A;,A;G;D;E;F;B;C;,B;F;D;E;G;A;C;,1
17,5/15/23 15:36:51,5/15/23 16:03:11,anonymous,,D;E;B;G;F;A;C;,B;C;E;G;D;F;A;,C;A;G;F;E;D;B;,E;A;C;F;B;D;G;,A;E;C;B;F;G;D;,C;E;F;B;A;D;G;,D;G;C;A;F;B;E;,A;F;B;C;E;D;G;,1
18,5/15/23 15:52:31,5/15/23 16:12:37,anonymous,,B;F;E;C;G;A;D;,D;C;G;E;B;F;A;,A;D;E;B;G;C;F;,C;F;G;A;E;D;B;,A;E;D;B;C;F;G;,C;F;B;A;D;E;G;,D;G;A;F;B;C;E;,F;B;A;C;E;G;D;,4
19,5/19/23 12:16:11,5/19/23 12:29:36,anonymous,,B;G;A;C;D;E;F;,G;C;B;E;D;F;A;,E;D;A;C;F;G;B;,F;C;A;E;B;D;G;,A;C;D;G;F;B;E;,E;F;C;B;A;D;G;,D;A;C;G;F;E;B;,F;C;G;E;B;A;D;,1
20,5/19/23 14:32:31,5/19/23 14:42:34,anonymous,,B;F;D;E;G;C;A;,D;G;C;B;E;F;A;,E;A;B;C;G;D;F;,C;G;F;B;E;A;D;,A;E;F;C;D;B;G;,C;F;A;B;D;E;G;,C;G;B;D;F;A;E;,F;B;A;C;G;E;D;,2
21,5/22/23 12:33:57,5/22/23 12:57:07,anonymous,,B;G;D;E;C;F;A;,C;G;E;B;F;D;A;,C;F;E;D;A;G;B;,F;E;A;C;G;D;B;,A;E;D;C;B;F;G;,E;C;F;A;B;D;G;,A;D;G;C;F;B;E;,A;F;C;E;B;D;G;,2
22,5/23/23 11:32:26,5/23/23 12:11:48,anonymous,,B;D;E;G;F;C;A;,C;B;E;G;D;F;A;,F;E;C;D;G;A;B;,A;E;C;G;F;B;D;,G;A;E;C;F;D;B;,C;E;F;D;A;B;G;,A;D;G;C;F;B;E;,F;A;B;E;D;G;C;,1
23,5/26/23 9:18:06,5/26/23 9:28:28,anonymous,,B;D;E;G;F;C;A;,G;E;B;C;D;F;A;,E;A;B;C;G;D;F;,C;A;E;G;F;B;D;,C;A;E;F;D;G;B;,C;A;B;D;F;E;G;,D;G;C;F;B;E;A;,E;F;G;B;D;A;C;,2
24,5/26/23 9:38:54,5/26/23 9:53:06,anonymous,,B;G;E;D;F;C;A;,E;G;C;B;D;F;A;,D;C;E;A;F;G;B;,A;C;E;F;G;D;B;,A;E;G;C;B;D;F;,C;B;F;E;A;D;G;,D;G;A;C;F;B;E;,B;A;F;C;E;D;G;,1
25,5/27/23 0:11:11,5/27/23 0:24:25,anonymous,,B;F;A;E;D;C;G;,D;G;E;B;C;F;A;,A;B;E;D;G;C;F;,A;C;F;G;E;D;B;,A;E;G;F;B;D;C;,C;E;F;G;B;A;D;,A;D;G;C;F;B;E;,E;C;A;F;G;D;B;,4
26,5/29/23 9:02:11,5/29/23 9:08:03,anonymous,,E;G;F;D;C;B;A;,C;B;G;D;E;F;A;,F;D;G;E;C;A;B;,E;A;C;G;F;B;D;,D;C;F;B;A;E;G;,A;B;C;D;F;E;G;,E;B;F;C;G;D;A;,D;G;B;F;E;A;C;,1
27,5/29/23 9:01:50,5/29/23 9:18:29,anonymous,,B;F;A;E;D;G;C;,G;F;D;C;B;E;A;,A;E;D;B;C;G;F;,C;D;A;B;E;F;G;,A;E;B;C;D;G;F;,C;F;E;A;B;D;G;,C;D;G;A;F;B;E;,E;A;B;C;D;G;F;,1
28,5/29/23 9:06:50,5/29/23 9:22:07,anonymous,,D;E;B;G;C;F;A;,G;E;C;B;D;F;A;,C;F;D;E;G;A;B;,A;E;F;C;G;B;D;,A;E;G;C;D;F;B;,C;F;E;B;D;A;G;,A;D;G;C;B;F;E;,F;E;B;D;C;G;A;,1
29,5/29/23 9:04:50,5/29/23 9:30:07,anonymous,,B;A;F;C;D;E;G;,D;E;B;C;G;F;A;,D;A;C;E;G;F;B;,C;A;B;D;E;F;G;,E;A;B;C;D;F;G;,B;A;D;C;F;E;G;,A;D;C;F;G;B;E;,C;A;B;D;E;F;G;,1
30,5/29/23 9:27:21,5/29/23 9:32:39,anonymous,,B;F;D;G;E;C;A;,B;C;E;G;D;F;A;,D;G;B;C;E;A;F;,A;E;C;G;F;B;D;,E;A;D;B;C;G;F;,E;F;A;B;C;D;G;,A;G;C;F;D;B;E;,F;D;G;B;C;E;A;,2
31,5/29/23 9:06:43,5/29/23 9:36:25,anonymous,,F;B;A;E;C;D;G;,D;F;A;G;C;B;E;,A;E;D;C;G;F;B;,B;D;A;C;E;F;G;,A;E;G;C;F;B;D;,C;G;E;F;B;A;D;,D;G;C;B;F;E;A;,A;C;B;D;E;G;F;,1
32,5/29/23 9:26:23,5/29/23 9:37:18,anonymous,,F;B;E;D;A;C;G;,F;A;D;G;B;C;E;,E;A;B;C;D;G;F;,A;B;C;D;E;G;F;,A;E;B;C;D;F;G;,E;G;C;A;B;D;F;,D;A;C;B;F;G;E;,A;B;C;D;E;G;F;,1
33,5/29/23 9:39:20,5/29/23 9:44:12,anonymous,,C;D;B;F;E;G;A;,B;D;E;G;C;A;F;,A;C;G;F;E;D;B;,C;E;F;A;B;G;D;,E;C;A;F;D;B;G;,B;A;C;F;D;E;G;,C;B;E;G;F;D;A;,B;G;A;E;D;F;C;,1
34,5/29/23 9:55:37,5/29/23 10:02:48,anonymous,,D;G;B;E;F;C;A;,E;B;D;G;C;F;A;,C;D;E;F;G;A;B;,A;E;F;C;G;B;D;,C;D;F;A;E;B;G;,B;D;A;C;F;E;G;,D;C;B;E;G;F;A;,B;D;E;F;G;A;C;,6
35,5/29/23 9:50:07,5/29/23 10:09:34,anonymous,,B;D;G;C;E;A;F;,G;C;E;B;D;F;A;,E;A;D;G;C;F;B;,E;C;A;F;G;B;D;,A;E;G;B;D;C;F;,F;B;D;A;C;E;G;,D;G;C;F;B;E;A;,B;D;E;G;F;A;C;,1
36,5/29/23 9:59:35,5/29/23 10:29:33,anonymous,,F;B;A;C;E;D;G;,G;B;E;C;D;F;A;,E;A;B;D;G;C;F;,B;F;D;G;C;A;E;,A;E;B;G;D;C;F;,A;D;B;F;C;E;G;,D;C;A;F;G;E;B;,F;B;A;D;C;E;G;,5
37,5/29/23 10:03:07,5/29/23 10:29:42,anonymous,,D;E;G;B;F;A;C;,G;C;B;E;D;F;A;,E;D;C;F;A;G;B;,F;A;C;E;B;D;G;,E;G;B;A;C;D;F;,F;C;B;A;D;E;G;,A;D;G;C;F;B;E;,E;F;A;C;D;B;G;,1
38,5/29/23 10:13:20,5/29/23 10:38:16,anonymous,,D;E;B;G;C;F;A;,F;G;D;E;B;C;A;,E;A;B;D;C;G;F;,A;F;C;E;G;B;D;,A;E;G;B;D;F;C;,C;D;F;B;A;E;G;,D;A;C;G;B;F;E;,F;E;B;A;C;D;G;,3
39,5/29/23 9:50:23,5/29/23 11:07:05,anonymous,,F;B;A;E;C;D;G;,D;B;G;C;E;F;A;,E;B;A;D;G;C;F;,G;B;C;F;A;E;D;,A;E;C;D;F;B;G;,C;F;B;A;D;E;G;,D;C;A;G;F;B;E;,F;B;C;A;D;E;G;,1
40,5/29/23 11:00:46,5/29/23 11:16:22,anonymous,,B;G;D;E;F;C;A;,B;E;G;D;C;A;F;,D;E;C;A;G;F;B;,A;C;E;F;G;B;D;,A;E;B;G;D;F;C;,C;E;F;G;D;A;B;,D;A;C;G;F;B;E;,F;A;B;C;D;E;G;,1
41,5/29/23 9:33:52,5/29/23 11:47:42,anonymous,,F;B;C;A;D;E;G;,G;D;C;B;E;A;F;,B;E;D;A;C;G;F;,B;D;C;A;E;F;G;,E;A;G;B;C;D;F;,E;C;F;D;B;A;G;,A;D;F;G;C;B;E;,A;C;B;D;E;G;F;,2
42,5/29/23 9:06:07,5/29/23 12:18:10,anonymous,,B;E;G;D;F;C;A;,G;C;B;E;D;F;A;,D;E;F;C;G;B;A;,E;A;F;G;C;B;D;,A;E;B;C;D;F;G;,E;C;G;B;A;D;F;,A;G;D;F;B;C;E;,B;C;A;E;G;D;F;,3
43,5/29/23 11:33:13,5/29/23 12:38:12,anonymous,,B;G;D;E;F;C;A;,G;C;E;B;D;F;A;,A;D;C;G;F;E;B;,F;A;C;E;G;B;D;,A;E;G;B;C;D;F;,C;E;F;A;B;D;G;,C;A;G;B;D;E;F;,F;A;B;G;D;E;C;,2
44,5/29/23 13:06:30,5/29/23 13:32:39,anonymous,,B;F;E;D;G;A;C;,G;D;B;E;C;F;A;,E;D;A;C;F;B;G;,C;E;A;F;G;B;D;,E;A;G;B;C;F;D;,B;C;E;F;A;G;D;,D;C;G;F;B;E;A;,F;B;C;A;E;D;G;,1
45,5/29/23 13:46:41,5/29/23 13:59:50,anonymous,,D;A;F;B;C;E;G;,B;C;D;E;A;G;F;,E;B;A;C;D;F;G;,A;C;E;F;G;B;D;,D;A;F;C;B;G;E;,A;B;C;D;F;E;G;,A;D;G;B;C;E;F;,F;B;D;E;A;C;G;,1
46,5/29/23 14:07:07,5/29/23 14:36:12,anonymous,,B;F;A;C;E;D;G;,B;E;C;D;G;F;A;,F;E;D;C;A;G;B;,B;E;A;D;C;F;G;,A;E;G;B;D;C;F;,C;B;A;D;F;E;G;,D;A;C;G;F;B;E;,C;E;F;D;A;B;G;,1
47,5/29/23 14:34:10,5/29/23 14:40:33,anonymous,,D;B;G;E;F;A;C;,G;E;B;C;D;F;A;,D;E;C;F;G;A;B;,C;E;F;A;B;D;G;,A;E;B;G;C;D;F;,C;E;B;F;A;D;G;,D;G;A;C;B;F;E;,F;E;B;D;C;G;A;,1
48,5/29/23 11:48:58,5/29/23 15:05:55,anonymous,,B;F;G;C;D;A;E;,D;F;B;C;G;E;A;,A;D;B;E;G;F;C;,B;D;E;C;F;G;A;,E;A;B;C;D;F;G;,C;E;F;G;B;A;D;,A;G;D;C;B;F;E;,A;C;F;B;D;E;G;,1
49,5/29/23 14:59:43,5/29/23 15:12:44,anonymous,,D;E;G;B;F;A;C;,C;B;E;G;D;F;A;,D;E;F;C;G;A;B;,E;F;A;C;G;B;D;,E;A;G;B;D;C;F;,C;E;F;B;A;D;G;,A;G;D;C;F;B;E;,A;F;E;C;B;D;G;,2
50,5/29/23 15:39:04,5/29/23 15:45:41,anonymous,,B;F;D;E;G;C;A;,B;C;D;E;G;F;A;,E;D;C;A;G;F;B;,E;A;G;F;C;B;D;,E;A;G;D;B;C;F;,F;C;E;D;A;B;G;,C;G;D;A;B;F;E;,B;C;G;A;D;E;F;,7
51,5/29/23 16:48:50,5/29/23 17:10:34,anonymous,,B;D;E;G;F;A;C;,B;C;E;G;D;A;F;,C;A;D;F;E;B;G;,A;C;E;F;G;B;D;,A;C;D;F;E;B;G;,A;B;D;F;C;E;G;,B;C;E;D;G;F;A;,D;B;E;F;G;A;C;,1
52,5/29/23 20:58:30,5/29/23 21:21:13,anonymous,,D;G;E;B;F;C;A;,C;B;E;G;D;F;A;,C;G;F;D;A;E;B;,A;E;F;C;D;B;G;,C;F;D;A;E;B;G;,A;D;B;F;E;C;G;,F;B;C;E;G;D;A;,B;D;E;G;A;C;F;,1
53,5/30/23 1:08:40,5/30/23 1:20:46,anonymous,,D;G;B;F;E;C;A;,C;B;G;E;A;F;D;,D;A;E;C;F;G;B;,C;E;F;A;B;D;G;,E;A;D;B;G;F;C;,C;F;B;A;D;E;G;,D;A;G;C;B;F;E;,G;B;A;C;E;F;D;,3
54,5/30/23 11:59:45,5/30/23 12:23:17,anonymous,,B;F;A;D;E;G;C;,G;D;B;C;E;F;A;,A;E;C;D;F;G;B;,G;A;C;E;F;B;D;,A;E;G;B;C;D;F;,C;F;B;D;A;E;G;,G;B;C;D;F;E;A;,F;A;B;C;D;E;G;,2
55,5/30/23 12:33:15,5/30/23 12:52:29,anonymous,,B;D;G;E;C;F;A;,C;B;E;G;D;F;A;,E;A;D;C;G;B;F;,E;C;A;F;G;B;D;,A;C;D;F;B;E;G;,D;A;B;F;C;E;G;,D;C;G;B;A;F;E;,B;D;E;G;F;A;C;,3
56,5/30/23 13:21:02,5/30/23 13:46:43,anonymous,,B;G;D;E;C;A;F;,E;C;G;B;D;F;A;,E;F;C;D;G;A;B;,C;E;A;F;G;B;D;,A;E;G;B;F;C;D;,C;F;A;B;D;E;G;,A;D;F;G;C;B;E;,F;E;D;C;B;A;G;,2
57,5/30/23 11:25:27,5/30/23 23:20:55,anonymous,,D;E;G;F;B;C;A;,C;E;G;B;D;F;A;,D;C;E;F;A;G;B;,A;E;C;F;G;B;D;,A;E;G;C;D;B;F;,C;B;A;F;D;E;G;,D;A;G;C;B;F;E;,F;A;B;D;E;C;G;,1
58,5/31/23 12:13:30,5/31/23 12:34:16,anonymous,,B;A;C;D;G;E;F;,G;D;B;C;E;F;A;,E;A;D;B;C;F;G;,G;C;A;E;F;B;D;,A;E;G;D;C;B;F;,C;E;F;A;B;D;G;,D;G;C;F;A;B;E;,F;B;A;C;E;G;D;,3
59,6/1/23 10:21:51,6/1/23 12:42:39,anonymous,,G;B;F;D;E;C;A;,G;C;E;B;D;F;A;,E;F;G;D;C;A;B;,C;A;F;G;E;B;D;,G;E;A;C;D;F;B;,E;C;F;B;A;D;G;,A;D;G;C;F;B;E;,F;E;D;B;A;C;G;,1
60,6/2/23 0:26:55,6/2/23 0:39:57,anonymous,,G;D;B;E;C;F;A;,D;F;B;G;C;E;A;,C;F;E;D;G;A;B;,C;F;E;G;A;B;D;,A;G;E;D;F;B;C;,F;E;C;B;A;D;G;,A;D;G;C;F;B;E;,A;B;C;D;E;G;F;,1
61,6/5/23 10:44:56,6/5/23 11:02:52,anonymous,,C;B;D;E;G;F;A;,G;C;B;E;D;F;A;,A;C;B;E;D;G;F;,C;A;E;F;G;B;D;,C;D;A;F;E;G;B;,B;A;E;D;C;F;G;,C;D;G;B;A;F;E;,E;B;F;D;G;A;C;,1
62,6/6/23 9:59:08,6/6/23 11:51:17,anonymous,,E;D;B;C;F;G;A;,D;G;E;B;C;F;A;,E;C;F;D;A;B;G;,C;A;G;E;F;B;D;,A;C;F;D;E;B;G;,C;D;A;B;F;E;G;,B;D;E;C;G;F;A;,B;D;E;F;G;A;C;,2
63,6/8/23 10:51:06,6/8/23 11:04:12,anonymous,,B;D;G;E;F;C;A;,B;C;G;E;D;F;A;,F;D;C;E;G;A;B;,A;E;F;C;G;B;D;,E;A;B;G;D;C;F;,F;E;C;D;B;A;G;,G;A;D;C;F;B;E;,G;B;E;D;F;A;C;,1
64,6/11/23 8:01:41,6/11/23 19:41:03,anonymous,,G;F;E;B;D;C;A;,G;C;A;B;D;E;F;,D;E;A;G;C;B;F;,F;G;E;C;A;B;D;,A;C;E;F;D;B;G;,A;C;F;B;D;E;G;,F;G;D;B;C;E;A;,B;D;F;G;E;C;A;,4
65,6/11/23 21:28:56,6/11/23 21:58:53,anonymous,,D;B;F;E;G;C;A;,F;G;C;D;B;E;A;,B;C;A;D;E;F;G;,E;A;C;F;G;B;D;,A;E;D;F;B;C;G;,E;F;C;A;B;D;G;,F;C;G;D;B;E;A;,E;G;B;D;F;A;C;,8